open,high,low,close,volume,year,month,day
22577.13,22666.0,21250.0,21310.9,180344.76643,1970,1,1
41262.11,41544.22,40467.94,41002.25,39426.24877,1970,1,1
41571.7,41913.69,40843.01,41382.59,32532.34372,1970,1,1
24401.7,24888.0,24291.22,24441.38,152852.25435,1970,1,1
30373.84,31000.0,29966.0,30466.93,75984.19452,1970,1,1
16547.32,16664.41,16488.91,16633.47,160998.47158,1970,1,1
28424.71,28544.96,26560.0,26574.53,92474.598809,1970,1,1
36958.32,38919.98,36234.63,36809.34,69830.16036,1970,1,1
29472.77,29599.54,28891.0,29311.7,54298.16578,1970,1,1
21797.83,21938.16,21451.0,21625.19,338591.94247,1970,1,1
21592.15,21607.65,20655.0,20862.47,192188.21556,1970,1,1
19288.57,19316.14,18805.34,18920.5,239496.56746,1970,1,1
20239.14,20402.93,19800.0,20037.6,162582.46032,1970,1,1
23125.13,23812.66,22760.23,23732.66,310790.42271,1970,1,1
46681.24,47537.57,45558.85,46914.16,35848.50609,1970,1,1
19555.61,20433.62,19550.79,20285.73,210509.49545,1970,1,1
21704.37,21834.99,20042.72,20362.22,443658.28584,1970,1,1
44313.16,44792.99,44071.97,44511.27,23041.61741,1970,1,1
23777.28,24668.0,23502.25,23643.51,151060.13211,1970,1,1
24568.24,24877.0,24430.0,24631.95,216917.25213,1970,1,1
21195.6,21684.54,20750.01,20798.16,118229.4525,1970,1,1
29864.03,30189.0,29531.42,29919.21,23139.9281,1970,1,1
42882.76,44220.89,42560.46,43991.46,56195.12374,1970,1,1
19629.08,20475.0,19490.6,20337.82,327012.00127,1970,1,1
22432.58,23800.0,21579.54,23396.62,263770.76574,1970,1,1
42535.94,44751.4,42427.03,44544.86,38095.19576,1970,1,1
38466.9,39265.2,38000.0,38694.59,34574.44663,1970,1,1
43071.66,43176.18,41540.42,42201.62,27562.08613,1970,1,1
19320.54,21597.22,19291.75,21360.11,428919.74652,1970,1,1
20590.67,20700.88,17166.83,18547.23,760705.362783,1970,1,1
19315.83,20354.01,19055.31,20236.71,74814.04601,1970,1,1
22409.41,22557.91,21927.0,22197.96,292519.80912,1970,1,1
42729.29,44322.0,42450.0,43902.66,33943.2928,1970,1,1
21782.37,21894.99,21351.07,21773.97,295730.76791,1970,1,1
22985.93,23647.68,22681.22,22818.37,145948.80995,1970,1,1
20132.64,20441.26,19755.29,19951.86,245986.6033,1970,1,1
19590.54,20185.0,19155.36,19422.61,444322.9534,1970,1,1
29201.35,29397.66,28282.9,28629.8,90998.5201,1970,1,1
21774.63,22319.08,21532.77,22199.84,361958.40109,1970,1,1
38525.16,38651.51,37517.8,37728.95,40316.45358,1970,1,1
44544.85,44549.97,43307.0,43873.56,28471.8727,1970,1,1
38596.11,38795.38,37578.2,37630.8,35321.18989,1970,1,1
39709.19,39980.0,39285.0,39441.6,20291.42375,1970,1,1
28170.01,28182.05,27711.0,28033.82,40118.94963,1970,1,1
50838.82,51810.0,50384.43,50820.0,31684.84269,1970,1,1
20905.58,21069.77,20384.89,20591.13,386977.60337,1970,1,1
28295.42,28374.3,27000.0,27454.47,86242.06544,1970,1,1
40515.71,40959.88,39450.0,39974.44,43845.92241,1970,1,1
19060.0,19238.31,18965.88,19155.53,213826.26731,1970,1,1
46464.66,47900.0,45900.0,47120.87,30352.29569,1970,1,1
29201.01,29656.18,28947.28,29445.06,20987.13124,1970,1,1
36660.35,37545.14,35701.0,36958.32,49232.40183,1970,1,1
16633.47,16677.35,16333.0,16607.48,164916.31174,1970,1,1
27261.06,28650.0,27240.1,28348.6,89486.16008,1970,1,1
22706.02,23180.0,22500.0,22916.45,293588.37938,1970,1,1
23398.48,24276.74,22906.19,23223.3,238762.17094,1970,1,1
18874.31,19956.0,18125.98,18461.36,385034.10021,1970,1,1
24182.21,24599.59,23608.0,23940.2,398400.45437,1970,1,1
24632.05,25192.0,24192.57,24271.76,300395.99542,1970,1,1
16692.56,17011.0,16546.04,16700.45,214224.18184,1970,1,1
23810.98,23933.25,22865.0,23149.95,143182.50858,1970,1,1
20861.11,20868.48,19875.23,19963.61,137535.40724,1970,1,1
20830.04,21588.94,20478.61,21195.6,121011.67393,1970,1,1
19960.67,20068.82,19320.0,19530.09,220874.83913,1970,1,1
27395.13,27724.85,26578.0,26907.49,371238.97174,1970,1,1
21529.11,21900.0,21145.0,21368.08,174383.22046,1970,1,1
29430.27,30485.0,29096.78,30380.01,62004.89434,1970,1,1
30295.1,30549.99,30120.0,30304.65,26431.99322,1970,1,1
19176.93,19227.68,18975.18,19069.39,113847.64232,1970,1,1
17165.53,17324.0,16855.01,16977.37,232818.18218,1970,1,1
21647.21,21860.0,21350.0,21826.87,280702.55149,1970,1,1
20236.71,20750.0,19304.4,20175.83,96041.13756,1970,1,1
29542.14,29886.64,28019.56,29201.35,94581.65463,1970,1,1
37160.11,38000.0,36155.01,37716.56,42154.26956,1970,1,1
23223.3,23442.77,22341.46,23152.19,184817.68191,1970,1,1
22666.0,23371.8,22422.0,22783.55,346445.48432,1970,1,1
21110.12,21558.41,20736.72,21237.69,77430.36622,1970,1,1
19041.92,19250.0,18650.0,19164.37,269310.75769,1970,1,1
20048.44,20208.37,19565.66,20131.46,245289.97263,1970,1,1
47067.99,47600.0,45200.0,45510.34,48645.12667,1970,1,1
42380.87,44500.5,41645.85,43839.99,51060.62006,1970,1,1
17127.83,17398.8,17104.66,17178.26,266211.52723,1970,1,1
47632.38,47995.96,45456.0,46131.2,43104.4887,1970,1,1
23629.76,23796.93,23195.9,23465.32,239315.45219,1970,1,1
30200.43,30486.0,29637.4,29888.07,62049.48451,1970,1,1
36896.37,37387.0,36250.0,37311.61,32081.10999,1970,1,1
23242.42,23452.0,22665.85,22963.0,280056.30717,1970,1,1
39397.97,39693.87,38088.57,38420.81,39677.26158,1970,1,1
21594.75,21980.0,21322.12,21591.83,178417.84468,1970,1,1
42352.12,42559.13,41138.56,41660.01,31685.72159,1970,1,1
20000.3,20057.27,19633.83,19796.84,222543.01057,1970,1,1
24322.87,25250.0,23505.25,23517.72,450080.68366,1970,1,1
16631.5,16796.82,16579.85,16776.52,144825.66684,1970,1,1
41114.01,41478.82,40500.0,40917.9,37189.38087,1970,1,1
16700.68,16753.33,16180.0,16280.23,154842.13478,1970,1,1
28171.87,28500.99,27200.24,27800.0,79180.01405,1970,1,1
41382.6,42656.0,41116.56,42380.87,22405.16704,1970,1,1
16521.35,16701.99,16385.0,16458.57,181804.81666,1970,1,1
19795.34,20180.0,18649.51,18790.61,356315.05718,1970,1,1
24443.06,25047.56,24144.0,24305.24,151206.14473,1970,1,1
47543.74,48139.08,46096.99,46464.66,39498.87,1970,1,1
20771.61,20872.21,20200.0,20295.11,328643.57791,1970,1,1
37777.35,39947.12,37555.0,39671.37,46945.45375,1970,1,1
16950.31,16981.91,16908.0,16943.57,104526.5688,1970,1,1
20227.17,20330.24,19497.0,19701.88,333069.76076,1970,1,1
31734.23,32399.0,31200.01,31801.04,62433.11632,1970,1,1
18545.38,18587.76,15588.0,15922.81,731926.929729,1970,1,1
27262.84,27882.72,27140.35,27816.85,36023.69686,1970,1,1
39742.06,39925.25,38175.0,38596.11,51453.65715,1970,1,1
19548.48,19706.66,19091.0,19327.44,260313.07848,1970,1,1
28323.76,29770.0,28170.0,29637.34,67754.0622,1970,1,1
20627.48,20845.92,20237.95,20490.74,303567.61628,1970,1,1
24093.04,24247.49,23671.22,23854.74,179324.94821,1970,1,1
43839.99,45492.0,42666.0,44042.99,64880.29387,1970,1,1
17775.82,18387.95,17660.94,17803.15,266681.22209,1970,1,1
37311.98,41772.33,37026.73,41574.25,64703.95874,1970,1,1
24998.78,27756.84,24890.0,27395.13,624460.68091,1970,1,1
31125.32,31327.22,29843.88,30204.77,68542.61276,1970,1,1
22430.24,22602.19,22258.0,22410.0,203751.82957,1970,1,1
19988.0,21233.0,19890.07,21110.13,83127.08716,1970,1,1
28300.8,30036.0,27235.0,28415.29,129228.40403,1970,1,1
20573.9,21723.0,20348.4,20723.52,104371.0749,1970,1,1
30452.63,30699.0,29282.36,29700.21,54067.44727,1970,1,1
42373.73,43079.49,41688.88,42217.87,26556.85681,1970,1,1
38694.59,38855.92,36586.95,36896.36,35794.6813,1970,1,1
